N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,오리온,"128,000",500,+0.39%,500,"50,606","39,536",37.54,"87,140",16.68,12.75,
60,한국조선해양,"70,700","2,500",-3.42%,"5,000","50,037","70,773",20.09,"143,596",-7.82,-8.95,
61,강원랜드,"23,200",350,-1.49%,500,"49,634","213,940",22.85,"384,740",52.02,-0.33,
62,한국항공우주,"50,900",300,+0.59%,"5,000","49,615","97,475",25.51,"809,513",38.30,5.19,
63,LG유플러스,"11,050",300,-2.64%,"5,000","48,246","436,611",38.04,"421,977",8.09,9.47,
64,SK스퀘어,"33,550",950,-2.75%,100,"47,462","141,468",42.56,"313,086",2.90,N/A,
65,DB손해보험,"65,300",700,-1.06%,500,"46,232","70,800",43.04,"164,297",4.69,13.38,
66,HD현대,"57,100","3,000",-4.99%,"1,000","45,105","78,993",18.34,"179,122",4.01,-1.99,
67,삼성중공업,"5,110",110,-2.11%,"1,000","44,968","880,000",16.91,"2,668,367",-6.36,-36.89,
68,맥쿼리인프라,"11,050",100,-0.90%,0,"44,735","404,846",13.21,"725,014",N/A,N/A,
69,LG디스플레이,"12,450",200,-1.58%,"5,000","44,548","357,816",17.94,"855,721",-4.46,9.68,
70,삼성엔지니어링,"22,250",850,-3.68%,"5,000","43,610","196,000",41.94,"671,828",9.04,20.67,
71,한온시스템,"8,090",10,-0.12%,100,"43,184","533,800",16.30,"525,323",28.29,13.83,
72,유한양행,"57,200",300,-0.52%,"1,000","41,888","73,231",19.63,"150,721",59.58,5.45,
73,코웨이,"55,900","1,000",-1.76%,500,"41,254","73,800",61.29,"117,906",8.79,27.41,
74,현대제철,"30,600","1,450",-4.52%,"5,000","40,834","133,446",21.86,"344,813",2.51,8.54,
75,GS,"43,800",950,-2.12%,"5,000","40,697","92,915",25.50,"158,868",1.87,15.55,
76,현대건설,"34,900",700,-1.97%,"5,000","38,863","111,356",24.86,"349,125",5.85,5.89,
77,한국타이어앤테크놀로지,"31,150","1,550",-4.74%,500,"38,587","123,875",36.27,"302,484",5.31,7.69,
78,메리츠증권,"6,240",10,+0.16%,"1,000","38,379","615,041",14.10,"1,183,961",5.20,15.77,
79,SK아이이테크놀로지,"53,000",800,-1.49%,"1,000","37,788","71,298",7.95,"196,401",-78.52,5.57,
80,미래에셋증권,"6,080",280,-4.40%,"5,000","37,411","615,316",12.72,"873,305",6.50,11.66,
81,한화에어로스페이스,"73,600",700,+0.96%,"5,000","37,264","50,630",23.85,"588,066",20.15,9.21,
82,금호석유,"126,000","7,000",-5.26%,"5,000","36,936","29,314",21.03,"126,530",3.58,47.76,
83,한미약품,"298,000","2,000",-0.67%,"2,500","36,708","12,318",15.73,"40,625",46.35,8.75,
84,BGF리테일,"210,500","1,500",-0.71%,"1,000","36,383","17,284",32.82,"33,665",19.32,19.61,
85,두산밥캣,"34,600","1,400",-3.89%,500,"34,686","100,249",29.20,"221,947",7.18,9.19,
86,TIGER CD금리투자KIS(합성),"51,690",10,+0.02%,0,"34,411","66,572",0.00,"282,289",N/A,N/A,
87,삼성카드,"29,550",500,-1.66%,"5,000","34,236","115,859",6.22,"113,143",5.84,7.53,
88,현대미포조선,"84,500","3,000",-3.43%,"5,000","33,751","39,942",20.74,"172,027",125.37,-7.11,
89,SKC,"88,500",900,-1.01%,"5,000","33,513","37,868",13.54,"115,992",24.90,11.60,
90,한국가스공사,"36,200","2,200",-5.73%,"5,000","33,417","92,313",10.27,"584,688",2.83,11.63,
91,호텔신라,"83,100","1,500",-1.77%,"5,000","32,615","39,248",18.38,"445,730",68.51,4.51,
92,롯데지주,"30,800","1,350",-4.20%,200,"32,312","104,909",9.58,"182,907",18.44,4.61,
93,에스디바이오센서,"30,150",350,-1.15%,500,"31,391","104,117",14.51,"409,285",2.28,72.47,
94,현대로템,"28,400",300,+1.07%,"5,000","30,996","109,142",7.05,"1,702,114",28.26,5.01,
95,팬오션,"5,730",160,-2.72%,"1,000","30,631","534,570",16.15,"2,143,278",3.93,17.16,
96,KODEX KOFR금리액티브(합성),"101,690",30,+0.03%,0,"29,826","29,330",0.00,"48,687",N/A,N/A,
97,한국금융지주,"53,300","1,800",-3.27%,"5,000","29,702","55,726",36.08,"105,891",3.73,27.12,
98,GS리테일,"28,150","1,050",-3.60%,"1,000","29,478","104,718",7.56,"135,317",32.66,25.58,
99,NH투자증권,"8,770",210,-2.34%,"5,000","29,087","331,666",12.60,"602,931",6.94,14.77,
100,쌍용C&E,"5,760",40,-0.69%,100,"29,022","503,860",2.38,"438,652",43.97,11.12,
101,씨에스윈드,"68,800","1,700",-2.41%,500,"29,014","42,171",10.91,"209,354",230.87,10.13,
